donor,announcement_date,aid_type_general,aid_type_specific,explanation,item,item_type,item_sub_type,source_reported_value,tot_activity_value_EUR,item_value_estimate_USD
Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 20 million to the Ukraine Energy Support Fund, to provide heat and electricity for Ukrainians.  Sources 3 and 4 restate this allocation.",.,.,.,20000000.0,12256984.0,
Australia,2024-07-21,Humanitarian,Contribution,"When comparing the web archive of the ""Crisis Hub"" page on the Australian government website between July 15, 2024, and July 21, 2024, it is observed that the grant amount provided to the United Nations Partnership on the Rights of Persons with Disabilities (UNPRPD) was originally reported as 1 million on May 31, 2024, but was updated to 2 million. This suggests that an additional 1 million may have been allocated to UNPRPD by the Australian Government.",.,.,.,1000000.0,615106.0,
Australia,2024-12-18,Humanitarian,Contribution,"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 66 million to the European Bank of Reconstruction and Development to assist with Ukraine’s vital recovery and reconstruction efforts.",.,.,.,66000000.0,39930666.0,
Australia,2024-12-18,Humanitarian,Contribution,"During her visit to Kyiv, Foreign Minister Wong announced that Australia would provide AUD 10 million in assistance to the Ukraine Energy Support Fund (UESF) to help supply heat and electricity to Ukrainians (Source of Aid 1). On February 26, 2025, the UESF confirmed that the AUD 10 million had been disbursed (Source of Aid 2). This was further corroborated by the Ukrainian Ministry of Energy on March 6, which cited the contribution as EUR 6 million (Source of Aid 3). According to reports in May 2025 (Source of Aid 4), AUD 10 million from the UESF have been used to fund the provision of electrical gear by the australian company NOJA.",.,.,.,10000000.0,6050101.0,
Australia,2024-12-18,Humanitarian,Contribution,"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 80,000 to help facilitate the work of Ukrainian NGO ""Save Ukraine"".",.,.,.,80000.0,48401.0,
Australia,2022-02-28,Military,Funding for Weapon Acquisition Program,Australia contributed USD 3 million to NATO'S Trust Fund for Ukraine to support non-lethal military equipment and medical supplies.,.,.,.,3000000.0,2645059.0,
Australia,2022-03-01,Military,Weapons and equipment,"Australia has announced around 70 million AUD in lethal military assistance to support the defence of Ukraine, including missiles and weapons. They also provide a range of non-lethal military equipment and medical supplies in response to a specific request from the Ukrainian Government. No further information about the composition of the equipment was disclosed.",.,.,.,70000000.0,46834320.0,
Australia,2022-03-20,Military,Assistance,Additional 21 million AUD support package of defensive military assistance for the Ukrainian Armed Forces. No further information was disclosed.,.,.,.,21000000.0,14050296.0,
Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",tactical decoy,Military equipment,Military equipment,25000000.0,16726543.0,
Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",unmanned aerial system,Aviation and drones,Unknown drone,25000000.0,,
Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",unmanned ground system,Portable defence system,Unknown drone,25000000.0,,
Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",field ration,Military equipment,Military equipment,25000000.0,,
Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",medical supplies,Humanitarian,Humanitarian,25000000.0,,
Australia,2022-04-08,Military,Equipment,"On April 8, the prime minister announced that Australia sends additional 20 Bushmaster Protected Mobility Vehicles to Ukraine. It is mentioned that these vehicles increase the total commitment of military assistance from 116 million AUD (the sum of AUM1 - AUM3) to 165 million AUD. Hence, we can deduce that the 20 Bushmasters have a value of 49 million AUD (165 million - 116 million).",Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),49000000.0,33416606.0,33000000.0
Australia,2022-04-08,Military,Weapons,"Australia announced (in addition to the 20 Bushmaster protected mobility vehicles reported in AUM4) another aid package that includes anti-armor weapons and ammunition. Since the amount of items sent is not entirely disclosed, we report the monetary value as given by the donor. Source of aid 3 says that Australia provided 306 ""Howitzer and anti-armor weapons"". Since we know that Australia provided 6 howitzers, we assume 300 are anti-armor weapons. This entry records these weapons.",light anti-armor weapon,Portable defence system,Light Anti-armor Weapon (LAW),26500000.0,18072246.0,442500.0
Australia,2022-04-08,Military,Weapons,"Australia announced (in addition to the 20 Bushmaster protected mobility vehicles reported in AUM4) another aid package that includes anti-armor weapons and ammunition. Since the amount of items sent is not entirely disclosed, we report the monetary value as given by the donor. Source of aid 3 says that Australia provided 306 ""Howitzer and anti-armor weapons"". Since we know that Australia provided 6 howitzers, we assume 300 are anti-armor weapons. This entry records these weapons.",ammunition for light anti-armor weapon,Ammunition for portable defence system,Light Anti-armor Weapon (LAW) ammunition,26500000.0,,
Australia,2022-04-27,Military,Weapons,"The Australian Government is gifting six M777 155mm lightweight towed howitzers and howitzer ammunition to the Government of Ukraine. Since entire support package is valued at AUD 26.7 million. Source of Aid 1 mentions a total military contribution until April 27 of AUD 225 million. Donation IDs AUM1 to AUM6 report AUD 218.2 million. This is due to Australia providing military aid to Ukraine through the NATO partners, with an undisclosed amount. The difference of AUD 6.8 million between Source of Aid 1 and our data collection until this point is due to this aid through NATO partners, with an undislosed amount (most likely AUD 6.8 million). This entry records the weapons.",M777 howitzer,Heavy weapon,155mm howitzer,26700000.0,18208640.0,31020000.0
Australia,2022-04-27,Military,Weapons,"The Australian Government is gifting six M777 155mm lightweight towed howitzers and howitzer ammunition to the Government of Ukraine. Since entire support package is valued at AUD 26.7 million. Source of Aid 1 mentions a total military contribution until April 27 of AUD 225 million. Donation IDs AUM1 to AUM6 report AUD 218.2 million. This is due to Australia providing military aid to Ukraine through the NATO partners, with an undisclosed amount. The difference of AUD 6.8 million between Source of Aid 1 and our data collection until this point is due to this aid through NATO partners, with an undislosed amount (most likely AUD 6.8 million). This entry records the weapons.",round of ammunition for M777 howitzer,Ammunition for heavy weapon,155mm howitzer ammunition,26700000.0,,
Australia,2022-05-19,Military,Weapons,"The Australian Government is providing further support with the gifting of 14 M113 Armored Personnel Carriers (APCs) and a further 20 Bushmaster Protected Mobility Vehicles (PMVs) to the Government of Ukraine. According to Source of Aid 1, the APCs are worth AUD 12 million in total, the PMVs AUD 48.9 million in total. According to Source of Aid 3, this brings the total military contribution of Australia to AUD 285 million. This coincides with the total value recorded here. Source of Aid 3 also mentions that only 4 of the announced 14 M113 have been delivered. However since Source of Delivery states the delivery of the entire package, we assume upper bounds and consider the entire package as being delivered.",M113 armored personnel carrier,Heavy weapon,Armored Personnel Carrier (APC),60900000.0,40612799.0,795376.0
Australia,2022-05-19,Military,Weapons,"The Australian Government is providing further support with the gifting of 14 M113 Armored Personnel Carriers (APCs) and a further 20 Bushmaster Protected Mobility Vehicles (PMVs) to the Government of Ukraine. According to Source of Aid 1, the APCs are worth AUD 12 million in total, the PMVs AUD 48.9 million in total. According to Source of Aid 3, this brings the total military contribution of Australia to AUD 285 million. This coincides with the total value recorded here. Source of Aid 3 also mentions that only 4 of the announced 14 M113 have been delivered. However since Source of Delivery states the delivery of the entire package, we assume upper bounds and consider the entire package as being delivered.",Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),60900000.0,,33000000.0
Australia,2022-07-04,Military,Weapons,"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),79500000.0,53512017.0,33000000.0
Australia,2022-07-04,Military,Weapons,"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",M113 armored personnel carrier,Heavy weapon,Armored Personnel Carrier (APC),79500000.0,,795376.0
Australia,2022-07-04,Military,Equipment,"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Demining Equipment,Military equipment,Military equipment,79500000.0,,
Australia,2022-07-04,Military,Equipment,"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",Other military equipment,Military equipment,Military equipment,79500000.0,,
Australia,2022-07-04,Military,Assistance,"The government also announced A$8.7 million (US$6 million) to assist Ukraine’s Border Guard Service to upgrade border management equipment, improve cyber security and enhance border operations in the field.",.,.,.,8700000.0,5856032.0,
Australia,2022-07-04,Military,Funding for Weapon Acquisition Program,"Deputy Prime Minister Richard Marles declared that Australia will contribute AUD 20 million to NATO's Comprehensive Assistance Package Trust Fund, in addition to the AUD 4.2 million or USD  3 million.",.,.,.,20000000.0,13462143.0,
Australia,2022-10-27,Military,Weapons,The Australian government announced to provide additional 30 Bushmaster protected mobility vehicles to Ukraine (bringing the total number to 90 at the time).,Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),,50378261.0,49500000.0
Australia,2023-02-24,Military,Weapons,"The Australian government announced to provide additional Uncrewed Aerial Systems to Ukraine. Source of Aid 2 and 3 speak of a total package worth of AUD 33 million. Since no further information on the number of items is disclosed, we take this value as donation value. ",unmanned aerial system,Aviation and drones,Unknown drone,33000000.0,21271384.0,
Australia,2023-06-26,Military,Weapons,"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",M113 armored personnel carrier,Heavy weapon,Armored Personnel Carrier (APC),100000000.0,61892156.0,1590752.0
Australia,2023-06-26,Military,Weapons,"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Trailer,Military equipment,non combat military vehicle,100000000.0,,700000.0
Australia,2023-06-26,Military,Weapons,"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",Military trucks,Military equipment,Military equipment,100000000.0,,9800000.0
Australia,2023-06-26,Military,Weapons,"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",tactical vehicle,Military equipment,Military equipment,100000000.0,,4900000.0
Australia,2023-06-26,Military,Weapons,"The Australian government announced a new package with a total amount of AUD 110 million. 10 million will be spend on humanitarian purposes, therefore we report the remaining AUD 100 million as military aid. The package included 24 M113.",105mm artillery round,Ammunition for heavy weapon,105mm howitzer ammunition,100000000.0,,
Australia,2023-07-12,Military,Weapons,Australia will provide 30 additional Bushmaster Protected Mobility Vehicles to Ukraine.,Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),,44763393.0,49500000.0
Australia,2023-10-24,Military,Equipment,"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Minelab demining equipment,Military equipment,Military equipment,20000000.0,12021529.0,
Australia,2023-10-24,Military,Equipment,"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",Micro-X Rover portable X-ray machine,Military equipment,Military equipment,20000000.0,,
Australia,2023-10-24,Military,Equipment,"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",SPEE3D WarpSPEE3D metal printer,Military equipment,Military equipment,20000000.0,,1000000.0
Australia,2023-10-24,Military,Equipment,"The Australian government announced a new package with a total amount of AUD 20 million, consisting of items sourced from local industry (DroneShield, Micro-X, Minelab, SPEE3D). The package includes de-mining equipment, portable x-ray machines, a 3D metal printer, and counter drone systems. The number and value of specific equipment remains undisclosed, aside from the the portable x-ray machine for which the source indicates a total of 1 unit.",DroneShield  anti-drone system,Military equipment,Military equipment,20000000.0,,
Australia,2024-02-15,Military,Funding for Weapon Acquisition Program,"The Australian government will provide a  AUD 50 million grant to the International Fund for Ukraine, directly supporting the procurement of priority military capabilities.",.,.,.,50000000.0,30241848.0,
Australia,2024-04-27,Military,Weapons,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 30 million towards uncrewed aerial systems which are reported here.",unmanned aerial system,Aviation and drones,Unknown drone,30000000.0,18215568.0,
Australia,2024-04-27,Military,Equipment,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Zodiac Juliet 3,Military equipment,Vessel,15000000.0,9107784.0,
Australia,2024-04-27,Military,Equipment,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Helmet,Military equipment,Military equipment,15000000.0,,
Australia,2024-04-27,Military,Equipment,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",winter boot,Humanitarian,Humanitarian,15000000.0,,
Australia,2024-04-27,Military,Equipment,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",Protective mask with filter,Military equipment,Military equipment,15000000.0,,
Australia,2024-04-27,Military,Equipment,"In Source 1, the Government of Australia announced  $100 million assistance in a new assistance package. Within this $100 milion, $50 milion is dedicated for the military assistance ""with the support of Australian defence industry"".  This includes AUD 15 million in combat helmets, rigid hull inflatable boats, boots, fire masks and generators that are reported here.",generator,Military equipment,Military equipment,15000000.0,,
Australia,2024-04-27,Military,Weapons,"In Source 1, the Government of Australia announced $100 million assistance in a new assistance package. This includes AUD 50 million in short range air defence systems, which are reported here.",Air Defence Missile,Ammunition for heavy weapon,Surface-to-air missile (SAM),50000000.0,30359280.0,
Australia,2024-04-27,Military,Weapons,"In Source 1, the Government of Australia announced $100 million assistance in a new assistance package. This the delivery  of an undiclosed number of air-to-ground precision munitions. While their monetary value is not given by the source, there remaining AUD 5 million from this military package is assigned to this delivery. According to source 3, these munitions were likely retired JDAM-ER (BLU-111/Mk. 82), based on the confirmation of their retirement from the Royal Australian Airforce in the Australian Guided Weapons and Explosive Ordnance Plan 2024 at the end of October (source 4).",JDAM-ER,Ammunition for heavy weapon,Explosive,5000000.0,3035928.0,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Air Defence Missile,Ammunition for heavy weapon,Surface-to-air missile (SAM),250000000.0,153776620.0,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",JDAM-ER,Ammunition for heavy weapon,Explosive,250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Anti-tank weapon,Portable defence system,Light Anti-armor Weapon (LAW),250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Artillery ammunition,Ammunition for heavy weapon,howitzer ammunition,250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Mortar ammunition (Australia),Ammunition for heavy weapon,Mortar ammunition,250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Cannon Ammunition (Australia),Ammunition for heavy weapon,Cannon ammunition,250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",rounds of small arms ammunition,Ammunition for light infantry,Small Arms and Light Weapons (SALW) ammunition,250000000.0,,
Australia,2024-07-11,Military,Weapons and equipment,"Australia announced its largest single military assistance package, worth nearly $250 milion on July 11th, 2024. This package will include guided missiles and air defense missiles, anti-tank weapons, ammunition, and a shipment of boots.",Military boots (Australia),Military equipment,Military equipment,250000000.0,,
Australia,2024-10-17,Military,Weapons,The Australian Department of Defence has decided to gift 49 of the retiring M1A1 Abrams fleet to Ukraine. The package is worth around AUD 245 million.,M1A1 Abrams,Heavy weapon,Main Battle Tank (MBT),245000000.0,150773265.0,504923566.0
Australia,2024-11-05,Military,Equipment,"The Australian Department of Defence has announced that it will gift 14 rigid hull inflatable boats to Ukraine. The package is valued at AUD 14 million. According to the Royal Australian Navy, the boats in stock are Juliet 3 type by Zodiac.",Zodiac Juliet 3,Military equipment,Vessel,14000000.0,8606633.0,9297901.0
Australia,2025-03-25,Military,Budgetary appropriations,"In its 2025–2026 national budget, the Australian government announced that it would provide AUD 17.0 million in military assistance to Ukraine over a two-year period from 2024–2025. This support includes the provision of communication systems, artillery components, firearms, and other equipment. Accordingly, the total amount has been evenly divided across the two years, resulting in an annual commitment of AUD 8.5 million. This entry records the commitment for 2025.",.,.,.,8500000.0,4953834.0,
Australia,2025-03-25,Military,Budgetary appropriations,"In its 2025–2026 national budget, the Australian government announced that it would provide AUD 17.0 million in military assistance to Ukraine over a two-year period from 2024–2025. This support includes the provision of communication systems, artillery components, firearms, and other equipment. Accordingly, the total amount has been evenly divided across the two years, resulting in an annual commitment of AUD 8.5 million. This entry records the commitment for 2026.",.,.,.,8500000.0,4953834.0,
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",liter of hand disinfectant,Humanitarian,Humanitarian,,1041782.0,311550.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",liter of disinfectant,Humanitarian,Humanitarian,,,108000.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",safety glasses,Humanitarian,Humanitarian,,,500000.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",medical protective mask,Humanitarian,Humanitarian,,,12000.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",gloves,Humanitarian,Humanitarian,,,2600.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",power generator,Humanitarian,Humanitarian,,,100429.0
Austria,2022-02-25,Humanitarian,Equipment,"The Austrian Government has sent two shipments of medical supplies. The first included 5 power generators, 700 sleeping bags and 28 water containers (with a capacity of 1,000 liters each). The second shipment included 50,000 liters of hand disinfectant, 9,000 liters of surface disinfectant, 50,000 security glasses, 50,000 mouth and nose masks and 20,000 pairs of gloves. Austria has bought the material for its own storage due to the COVID-19 pandemic, but decided to send it to Ukraine after the start of the war.",sleeping bag,Humanitarian,Humanitarian,,,105000.0
